"","text"
"1","   agreed there is a real danger of shutting down innate curiosity about other lives other ways of being with"
"2","its always a good time and now is an especially good time to derive encouragement amp delight from treasures of ch "
"3","  the taliban led by the pashtuns destroyed the bamiyan buddha an ancient artefact belonging to the hazaras now the british"
"4","  beautiful golden chalice to bring light to your week one of the many amazing neolithic artefacts displayed in the recent s"
"5"," agreed there is a real danger of shutting down innate curiosity about other lives other ways of being "
"6","  amagbyerdem permanent collection
photographer campbelladdy and stylist gabriellakarefajohnson capture the erdem spring summe"
"7","british museum works to restore rare and complex michelangelo drawing  the guardian "
"8","amagbyerdem permanent collection
photographer campbelladdy and stylist gabriellakarefajohnson capture the erdem "
"9","  beautiful golden chalice to bring light to your week one of the many amazing neolithic artefacts displayed in the recent s"
"10","  beautiful golden chalice to bring light to your week one of the many amazing neolithic artefacts displayed in the recent s"
"11","the british museum works to restore a rare and complex michelangelo drawing
"
"12","   you cant possibly know that he wasnt just a male activist later gl "
"13","  beautiful golden chalice to bring light to your week one of the many amazing neolithic artefacts displayed in the recent s"
"14","the igbo story in the movie black panter

in the movie the black panther erik killmonger wore a very distinctive m "
"15"," before people react to news coming out of china i suggest that they should make a study of the histor "
"16"," if u want a good laugh on the subjectjames acasterbritish museumyoutubehilarious"
"17","  you would think that one of the most celebrated art history museums in europe will provide you with better context and a bet"
"18"," the british museum holds about  historical treasures stolen from benin in  the ethological muse "
"19","the british museum is working to restore michelangelos rare and complexdrawing "
"20","  naples loaning out an ancient egyptian artifact to the british museum seems right also wow"
"21","  yes entertaining and confronting at the same time  reminds me of when i went to the british "
"22","  beautiful golden chalice to bring light to your week one of the many amazing neolithic artefacts displayed in the recent s"
"23","  beautiful golden chalice to bring light to your week one of the many amazing neolithic artefacts displayed in the recent s"
"24","  beautiful golden chalice to bring light to your week one of the many amazing neolithic artefacts displayed in the recent s"
"25","  found the photo of partition of bharat in the british museum your feelings "
"26","  a wonderful example of the technical skills and intellectual leadership that support the restoration work of our world leading"
"27","  someone said the only reason the pyramids are still in egypt is because theyre too heavy to be carried to the british"
"28","the rosetta stone is one of the most important objects in the british museum as it holds the key to understanding e "
"29","michelangelo cartoon i couldnt see the joke myself pete "
"30","   egyptian artefacts are so cool the stuff at the british museum is mind blowingeverything from huge imposin"
"31","a wonderful example of the technical skills and intellectual leadership that support the restoration work of our wo "
"32","  beautiful golden chalice to bring light to your week one of the many amazing neolithic artefacts displayed in the recent s"
"33","  左 国芳大和屋板右大将頼朝熊谷蓮生坊the british museum所蔵arc浮世絵ポータルデータベース収録 cc byncsa

右 国芳建礼門院右大臣実朝"
